"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"834","0071/18 FA","Yellow fever virus",NA,"-N/A-","ON022247","10169","-N/A-","01/13/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"835","3240","Yellow fever virus",NA,"-N/A-","ON022346","10172","-N/A-","01/26/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"836","0107/18 FA","Yellow fever virus",NA,"-N/A-","ON022248","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"837","3266","Yellow fever virus",NA,"-N/A-","ON022347","10172","-N/A-","03/03/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"838","0129/18 FA","Yellow fever virus",NA,"-N/A-","ON022249","10169","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"839","3382","Yellow fever virus",NA,"-N/A-","ON022348","10172","-N/A-","03/13/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"840","0136/18 FA_vaccinated","Yellow fever virus",NA,"-N/A-","ON022250","10169","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"841","3450","Yellow fever virus",NA,"-N/A-","ON022349","10172","-N/A-","03/10/2018","Unknown","Cebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"842","0048/18 IV","Yellow fever virus",NA,"-N/A-","ON022251","10169","-N/A-","01/05/2018","Unknown","Cebidae","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"843","3462","Yellow fever virus",NA,"-N/A-","ON022350","10172","-N/A-","03/14/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"844","0047/18 IV","Yellow fever virus",NA,"-N/A-","ON022252","10169","-N/A-","01/01/2018","Unknown","Cebidae","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"845","3563","Yellow fever virus",NA,"-N/A-","ON022351","10172","-N/A-","03/27/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"846","0163/18 FA_vaccinated","Yellow fever virus",NA,"-N/A-","ON022253","10132","-N/A-","01/17/2018","Human","Homo sapiens","Brazil","genomic RNA",10132,1.0132,">90%","South America","Brazil"
"847","3773","Yellow fever virus",NA,"-N/A-","ON022352","10172","-N/A-","04/18/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"848","0045/18 IV","Yellow fever virus",NA,"-N/A-","ON022254","10169","-N/A-","01/04/2018","Monkey","Callithrix penicillata","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"849","2752","Yellow fever virus",NA,"-N/A-","ON022353","10172","-N/A-","12/27/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"850","0092/18 FA","Yellow fever virus",NA,"-N/A-","ON022255","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"851","2755","Yellow fever virus",NA,"-N/A-","ON022354","10172","-N/A-","12/27/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"852","0091/18 FA","Yellow fever virus",NA,"-N/A-","ON022256","9823","-N/A-","01/13/2018","Human","Homo sapiens","Brazil","genomic RNA",9823,0.9823,">90%","South America","Brazil"
"853","2756","Yellow fever virus",NA,"-N/A-","ON022355","10172","-N/A-","12/27/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"854","0025/18 FA","Yellow fever virus",NA,"-N/A-","ON022257","10169","-N/A-","01/08/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"855","2757","Yellow fever virus",NA,"-N/A-","ON022356","10172","-N/A-","12/27/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"856","0043/18 IV","Yellow fever virus",NA,"-N/A-","ON022258","10169","-N/A-","12/30/2017","Unknown","Cebidae","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"857","2782","Yellow fever virus",NA,"-N/A-","ON022357","10172","-N/A-","12/27/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"858","0049/18 IV","Yellow fever virus",NA,"-N/A-","ON022259","10169","-N/A-","01/02/2018","Monkey","Callithrix penicillata","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"859","2783","Yellow fever virus",NA,"-N/A-","ON022358","10172","-N/A-","01/03/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"860","0068/18 FA","Yellow fever virus",NA,"-N/A-","ON022260","10169","-N/A-","01/14/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"861","2786","Yellow fever virus",NA,"-N/A-","ON022359","10172","-N/A-","12/26/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"862","096/18 FA","Yellow fever virus","West Africa Genotype II","-N/A-","ON022261","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"863","2868","Yellow fever virus",NA,"-N/A-","ON022360","10172","-N/A-","01/02/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"864","0046/18 IV","Yellow fever virus",NA,"-N/A-","ON022262","10169","-N/A-","01/06/2018","Monkey","Alouatta","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"865","2869","Yellow fever virus",NA,"-N/A-","ON022361","10172","-N/A-","01/05/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"866","0043/18 FA","Yellow fever virus",NA,"-N/A-","ON022263","10169","-N/A-","01/10/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"867","17D","Yellow fever virus","West Africa Genotype II","-N/A-","OK573009","10635","-N/A-","-N/A-","Unknown","-N/A-","United States of America","genomic RNA",10635,1.0635,">90%","North America","USA"
"868","0007/18 IV","Yellow fever virus",NA,"-N/A-","ON022264","10169","-N/A-","12/18/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"869","2789","Yellow fever virus",NA,"-N/A-","ON022363","10172","-N/A-","12/26/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"870","0055/18 IV","Yellow fever virus",NA,"-N/A-","ON022265","10169","-N/A-","01/04/2018","Monkey","Callithrix penicillata","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"871","2862","Yellow fever virus",NA,"-N/A-","ON022364","10172","-N/A-","12/29/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"872","0005/18 IV","Yellow fever virus",NA,"-N/A-","ON022266","10169","-N/A-","12/26/2017","Unknown","Cebidae","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"873","2870","Yellow fever virus",NA,"-N/A-","ON022365","10172","-N/A-","01/05/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"874","0109/18 FA","Yellow fever virus",NA,"-N/A-","ON022267","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"875","2872","Yellow fever virus",NA,"-N/A-","ON022366","10172","-N/A-","01/05/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"876","0299/2018","Yellow fever virus",NA,"-N/A-","ON022268","10169","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"877","5148","Yellow fever virus",NA,"-N/A-","ON022367","10172","-N/A-","01/21/2019","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"878","7922/2017","Yellow fever virus",NA,"-N/A-","ON022269","10169","-N/A-","11/28/2017","Monkey","Alouatta","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"879","5159","Yellow fever virus",NA,"-N/A-","ON022368","10172","-N/A-","01/15/2019","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"880","0276/2018","Yellow fever virus",NA,"-N/A-","ON022270","10169","-N/A-","01/17/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"881","5194","Yellow fever virus",NA,"-N/A-","ON022369","10172","-N/A-","01/31/2019","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"882","0331/2018","Yellow fever virus",NA,"-N/A-","ON022271","10169","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"883","5312","Yellow fever virus",NA,"-N/A-","ON022370","10172","-N/A-","02/19/2019","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"884","0113/2018","Yellow fever virus",NA,"-N/A-","ON022272","9763","-N/A-","01/06/2018","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"885","1594/17 IV","Yellow fever virus",NA,"-N/A-","ON022371","10172","-N/A-","07/03/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"886","0227/2018","Yellow fever virus",NA,"-N/A-","ON022273","10169","-N/A-","01/13/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"887","2014/17 IV","Yellow fever virus",NA,"-N/A-","ON022372","10172","-N/A-","11/17/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"888","0229/2018","Yellow fever virus",NA,"-N/A-","ON022274","10169","-N/A-","01/13/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"889","1969/17 IV","Yellow fever virus",NA,"-N/A-","ON022373","10172","-N/A-","11/18/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"890","0232/2018","Yellow fever virus",NA,"-N/A-","ON022275","10169","-N/A-","01/14/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"891","0881/17 IV","Yellow fever virus",NA,"-N/A-","ON022374","10172","-N/A-","03/13/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"892","0303/2018","Yellow fever virus",NA,"-N/A-","ON022276","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"893","0407/17 IV","Yellow fever virus",NA,"-N/A-","ON022375","10172","-N/A-","02/12/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"894","0306/2018","Yellow fever virus",NA,"-N/A-","ON022277","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"895","H295","Yellow fever virus",NA,"-N/A-","MN643077","11007","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"896","H299","Yellow fever virus",NA,"-N/A-","MN643078","11007","-N/A-","01/25/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"897","H300","Yellow fever virus",NA,"-N/A-","MN643079","11007","-N/A-","01/26/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"898","H312","Yellow fever virus",NA,"-N/A-","MN643080","11007","-N/A-","02/17/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"899","H313","Yellow fever virus",NA,"-N/A-","MN643081","11007","-N/A-","02/19/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"900","H317","Yellow fever virus",NA,"-N/A-","MN643082","11007","-N/A-","02/16/2018","Human","Homo sapiens","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"901","ARB1029","Yellow fever virus",NA,"-N/A-","ON022737","10172","-N/A-","01/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"902","2146/2018","Yellow fever virus",NA,"-N/A-","ON022501","10172","-N/A-","02/20/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"903","2973","Yellow fever virus",NA,"-N/A-","ON022332","10172","-N/A-","01/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"904","PNH2636","Yellow fever virus",NA,"-N/A-","ON022636","10172","-N/A-","10/19/2017","Unknown","Callicebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"905","2005/17 IV","Yellow fever virus",NA,"-N/A-","ON022431","10172","-N/A-","12/05/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"906","ARB1030","Yellow fever virus",NA,"-N/A-","ON022738","10172","-N/A-","01/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"907","3006","Yellow fever virus",NA,"-N/A-","ON022333","10172","-N/A-","01/29/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"908","2139/2018","Yellow fever virus",NA,"-N/A-","ON022502","10172","-N/A-","02/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"909","PNH2405","Yellow fever virus",NA,"-N/A-","ON022637","10172","-N/A-","11/14/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"910","2065/17 IV","Yellow fever virus",NA,"-N/A-","ON022432","10172","-N/A-","12/07/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"911","ARB1032","Yellow fever virus",NA,"-N/A-","ON022739","10172","-N/A-","01/23/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"912","1840/2018","Yellow fever virus",NA,"-N/A-","ON022503","10172","-N/A-","02/05/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"913","3035","Yellow fever virus",NA,"-N/A-","ON022334","10172","-N/A-","01/31/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"914","PNH2635","Yellow fever virus",NA,"-N/A-","ON022638","10172","-N/A-","10/13/2017","Unknown","Callicebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"915","2788","Yellow fever virus",NA,"-N/A-","ON022362","9478","-N/A-","12/26/2017","Monkey","Alouatta","Brazil","genomic RNA",9478,0.9478,">90%","South America","Brazil"
"916","0891/18 IV","Yellow fever virus",NA,"-N/A-","ON022376","10172","-N/A-","04/11/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"917","0318/2018","Yellow fever virus",NA,"-N/A-","ON022278","10169","-N/A-","01/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"918","0934/18 IV","Yellow fever virus",NA,"-N/A-","ON022377","10172","-N/A-","04/17/2018","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"919","0185/2018","Yellow fever virus","West Africa Genotype II","-N/A-","ON022279","9763","-N/A-","01/11/2018","Human","Homo sapiens","Brazil","genomic RNA",9763,0.9763,">90%","South America","Brazil"
"920","PNH4183","Yellow fever virus",NA,"-N/A-","ON022583","10172","-N/A-","06/05/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"921","1937/17 IV","Yellow fever virus",NA,"-N/A-","ON022378","10172","-N/A-","11/09/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"922","0023/2018","Yellow fever virus",NA,"-N/A-","ON022280","10169","-N/A-","12/15/2017","Monkey","Alouatta","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"923","PNH3452","Yellow fever virus",NA,"-N/A-","ON022584","10172","-N/A-","03/17/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"924","1351/17 IV","Yellow fever virus",NA,"-N/A-","ON022379","10172","-N/A-","05/17/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"925","0101/2018","Yellow fever virus",NA,"-N/A-","ON022281","10169","-N/A-","12/22/2017","Monkey","Alouatta","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"926","PNH3460","Yellow fever virus",NA,"-N/A-","ON022585","10172","-N/A-","03/15/2018","Unknown","Cebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"927","1943/17 IV","Yellow fever virus",NA,"-N/A-","ON022380","10172","-N/A-","11/16/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"928","TEC1053","Yellow fever virus",NA,"-N/A-","ON022282","10172","-N/A-","01/23/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"929","PNH2915","Yellow fever virus",NA,"-N/A-","ON022586","10172","-N/A-","01/14/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"930","0955/17 IV","Yellow fever virus",NA,"-N/A-","ON022381","10172","-N/A-","04/06/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"931","4965","Yellow fever virus",NA,"-N/A-","ON022283","10172","-N/A-","11/21/2018","Unknown","Callicebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"932","PNH2984","Yellow fever virus",NA,"-N/A-","ON022587","10172","-N/A-","01/28/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"933","1597/17 IV","Yellow fever virus",NA,"-N/A-","ON022382","10172","-N/A-","07/03/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"934","4950","Yellow fever virus",NA,"-N/A-","ON022284","10172","-N/A-","01/11/2018","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"935","PNH2987","Yellow fever virus",NA,"-N/A-","ON022588","10172","-N/A-","01/22/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"936","0843/17 IV","Yellow fever virus",NA,"-N/A-","ON022383","10172","-N/A-","04/03/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"937","3383","Yellow fever virus",NA,"-N/A-","ON022285","10172","-N/A-","03/11/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"938","PNH3025","Yellow fever virus",NA,"-N/A-","ON022589","10172","-N/A-","01/31/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"939","1205/17 IV","Yellow fever virus",NA,"-N/A-","ON022384","10172","-N/A-","04/22/2017","Monkey","Callithrix geoffroyi","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"940","3766","Yellow fever virus",NA,"-N/A-","ON022286","10172","-N/A-","06/25/2018","Unknown","Haemagogus janthinomys capricornii","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"941","PNH3089","Yellow fever virus",NA,"-N/A-","ON022590","10172","-N/A-","01/31/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"942","1974/17 IV","Yellow fever virus",NA,"-N/A-","ON022385","10172","-N/A-","11/24/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"943","4393","Yellow fever virus",NA,"-N/A-","ON022287","10172","-N/A-","07/20/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"944","PNH3254","Yellow fever virus",NA,"-N/A-","ON022591","10172","-N/A-","02/09/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"945","1192/17 IV","Yellow fever virus",NA,"-N/A-","ON022386","10172","-N/A-","04/18/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"946","IAL-10","Yellow fever virus",NA,"-N/A-","ON022288","10183","-N/A-","11/16/2016","Primate","Non-human primate","Brazil","genomic RNA",10183,1.0183,">90%","South America","Brazil"
"947","PNH3273","Yellow fever virus",NA,"-N/A-","ON022592","10172","-N/A-","02/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"948","2043/17 IV","Yellow fever virus",NA,"-N/A-","ON022387","10172","-N/A-","12/04/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"949","3048/2018","Yellow fever virus",NA,"-N/A-","ON022433","10172","-N/A-","02/26/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"950","ARB1045","Yellow fever virus",NA,"-N/A-","ON022740","10172","-N/A-","01/30/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"951","2153/2017","Yellow fever virus",NA,"-N/A-","ON022504","10172","-N/A-","03/17/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"952","3037","Yellow fever virus",NA,"-N/A-","ON022335","10172","-N/A-","01/31/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"953","PNH2632","Yellow fever virus",NA,"-N/A-","ON022639","10172","-N/A-","11/07/2017","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"954","2222/2018","Yellow fever virus",NA,"-N/A-","ON022434","10172","-N/A-","02/08/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"955","ARB1055","Yellow fever virus",NA,"-N/A-","ON022741","10172","-N/A-","02/01/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"956","2051/2018","Yellow fever virus",NA,"-N/A-","ON022505","10172","-N/A-","02/21/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"957","3038","Yellow fever virus",NA,"-N/A-","ON022336","10172","-N/A-","01/29/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"958","PNH2573","Yellow fever virus",NA,"-N/A-","ON022640","10172","-N/A-","09/21/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"959","7578/2017","Yellow fever virus",NA,"-N/A-","ON022435","10172","-N/A-","10/23/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"960","ARB1014","Yellow fever virus",NA,"-N/A-","ON022742","10172","-N/A-","01/12/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"961","1004/2018","Yellow fever virus",NA,"-N/A-","ON022506","9884","-N/A-","01/24/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"962","PNH2576","Yellow fever virus",NA,"-N/A-","ON022641","10172","-N/A-","09/21/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"963","3172","Yellow fever virus",NA,"-N/A-","ON022337","10172","-N/A-","02/10/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"964","3052/2018","Yellow fever virus",NA,"-N/A-","ON022436","10172","-N/A-","02/26/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"965","0568/2018","Yellow fever virus",NA,"-N/A-","ON022507","9884","-N/A-","01/18/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"966","ARB1020","Yellow fever virus",NA,"-N/A-","ON022743","10172","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"967","PNH2514","Yellow fever virus",NA,"-N/A-","ON022642","10172","-N/A-","12/05/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"968","YF-247","Yellow fever virus","West Africa Genotype II","-N/A-","OM938988","10862","-N/A-","2016","Monkey","vero cells","France","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"969","YF-247","Yellow fever virus","West Africa Genotype II","-N/A-","OM938989","10862","-N/A-","2018","Monkey","vero cells","France","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"970","YF-247","Yellow fever virus","West Africa Genotype II","-N/A-","OM938990","10862","-N/A-","2019","Monkey","vero cells","France","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"971","VHF-21-014/GHA/Damongo/2021","Yellow fever virus","West Africa Genotype II","-N/A-","OM066735","10478","-N/A-","10/26/2021","Human","Homo sapiens","Ghana","genomic RNA",10478,1.0478,">90%","Africa","Western Africa"
"972","VHF-21-029/GHA/Daboya/2021","Yellow fever virus","West Africa Genotype II","-N/A-","OM066736","10767","-N/A-","11/04/2021","Human","Homo sapiens","Ghana","genomic RNA",10767,1.0767,">90%","Africa","Western Africa"
"973","VHF-21-037/GHA/Damongo/2021","Yellow fever virus","West Africa Genotype II","-N/A-","OM066737","10825","-N/A-","11/04/2021","Human","Homo sapiens","Ghana","genomic RNA",10825,1.0825,">90%","Africa","Western Africa"
"974","302","Yellow fever virus",NA,"-N/A-","ON022581","10172","-N/A-","01/23/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"975","PNH493","Yellow fever virus",NA,"-N/A-","ON022582","10172","-N/A-","02/27/2017","Unknown","Cebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"976","3551","Yellow fever virus",NA,"-N/A-","ON022289","10172","-N/A-","05/23/2018","Unknown","Haemagogus janthinomys capricornii","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"977","PNH3533","Yellow fever virus",NA,"-N/A-","ON022593","10172","-N/A-","03/21/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"978","0883/17 IV","Yellow fever virus",NA,"-N/A-","ON022388","10172","-N/A-","03/13/2017","Monkey","Callithrix geoffroyi","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"979","3552","Yellow fever virus",NA,"-N/A-","ON022290","10172","-N/A-","05/23/2018","Mosquito","Haemagogus leucocelaenus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"980","PNH2989","Yellow fever virus",NA,"-N/A-","ON022594","10172","-N/A-","01/23/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
